code,name,cf_sales20161,rateofreturn20161,cf_nm20161,cf_liabilities20161,cashflowratio20161,cf_sales20162,rateofreturn20162,cf_nm20162,cf_liabilities20162,cashflowratio20162,cf_sales20163,rateofreturn20163,cf_nm20163,cf_liabilities20163,cashflowratio20163,cf_sales20164,rateofreturn20164,cf_nm20164,cf_liabilities20164,cashflowratio20164,cf_sales20171,rateofreturn20171,cf_nm20171,cf_liabilities20171,cashflowratio20171,cf_sales20172,rateofreturn20172,cf_nm20172,cf_liabilities20172,cashflowratio20172,cf_sales20173,rateofreturn20173,cf_nm20173,cf_liabilities20173,cashflowratio20173,cf_sales20174,rateofreturn20174,cf_nm20174,cf_liabilities20174,cashflowratio20174,cf_sales20181,rateofreturn20181,cf_nm20181,cf_liabilities20181,cashflowratio20181
600789,鲁抗医药,0.055,0.0088,6.2239,0.0168,2.2662,0.0527,0.0162,4.5919,0.0315,4.1769,0.0698,0.0313,5.4151,0.0613,8.1999,0.1182,0.0709,10.0395,0.1349,18.4756,0.0595,0.0086,2.4758,0.0157,2.0585,0.0892,0.0238,3.0091,0.040999999999999995,5.7152,0.0943,0.0372,3.3091,0.0645,11.0611,0.106,0.053,2.1369,0.0888,15.9884,0.064,0.0088,0.5838,0.0169,2.9785
300723,一品红,,,,,,,,,,,0.0904,,0.8918,,,0.1167,0.1941,1.0748,0.3511,119.01700000000001,-0.0125,,-0.1199,,,0.0562,0.0494,0.5327,0.1059,37.5275,0.0417,0.0537,0.3987,0.12,40.7747,0.1024,0.0954,0.9129999999999999,0.3785,136.112,0.0639,0.0142,0.6129,0.0449,9.1477
002783,凯龙股份,-0.1001,-0.0098,-0.9525,-0.0565,-7.9263,0.0768,0.0196,0.5444,0.1013,12.155999999999999,0.0938,0.036000000000000004,0.6645,0.2007,24.3087,0.153,0.0769,1.1813,0.4312,49.0279,-0.2522,-0.0271,-3.0286,-0.1058,-11.4015,0.0559,0.0156,0.4325,0.0522,7.6895,0.0599,0.0252,0.5256,0.0817,11.6742,0.1151,0.0654,1.1317,0.2129,30.2513,0.0637,0.0067,1.45,0.0158,2.6421
603218,日月股份,0.1807,,0.9635,,,0.1923,0.0559,0.9333,0.1331,13.9768,0.2186,,1.0518,,,0.1995,0.08900000000000001,0.9419,0.3228,34.0175,0.1972,0.0189,1.1648,0.0807,8.585,0.1692,0.0392,1.1231,0.1603,16.9595,0.1225,0.0451,0.8944,0.1823,19.4937,0.1043,0.0514,0.8427,0.2007,21.3822,0.0635,0.0076,0.5856,0.03,3.1912
000825,太钢不锈,0.1869,0.0289,,0.0409,8.2512,0.1442,0.0508,14.9569,0.0739,15.1285,0.1465,0.0799,7.8022,0.1161,18.3675,0.1349,0.1054,7.4909,0.1548,23.7437,0.0322,0.0075,1.8906,0.0111,1.5759,0.1078,0.0502,5.2803,0.0754,10.17,0.1633,0.1169,3.9739999999999998,0.182,23.1458,0.1606,0.1461,2.4918,0.2308,28.8752,0.0635,0.0158,0.8,0.0262,3.1892
603619,中曼石油,,,,,,-0.0001,,-0.0003,,,0.1055,,0.4163,,,0.1519,0.0927,0.6149,0.1814,23.1896,0.3395,,1.1939,,,0.27,0.0755,1.0597,0.1521,18.7399,0.2379,0.0792,0.9402,0.2072,24.9616,0.142,0.0678,0.6379,0.2105,25.375999999999998,0.0635,0.0075,0.3544,0.0228,2.6717
002762,金发拉比,-0.027000000000000003,-0.0024,-0.151,-0.0339,-3.3855,0.0196,0.0034,0.1104,0.037000000000000005,3.7044,0.1218,0.0335,0.6454,0.3879,38.792,0.2089,0.0835,1.1064,1.0492,104.9205,0.2489,0.0227,1.2984,0.3124,31.244,0.1666,0.0297,0.9581,0.3326,33.2619,0.0902,0.0247,0.4654,0.2182,21.8216,0.182,0.0717,0.8552,0.5995,59.9542,0.0635,0.0057,0.3004,0.0503,5.0269
000333,美的集团,0.172,0.0446,1.5828,0.0759,7.6546,0.1049,0.0485,0.7946,0.0775,8.7442,0.1636,0.1168,1.3843,0.1962,22.3453,0.1678,0.1565,1.683,0.2627,29.9325,0.1173,0.031,1.4957,0.0463,5.2533,0.1117,0.0602,1.2033,0.0891,10.0906,0.1073,0.0829,1.2463,0.1239,17.4625,0.1015,0.0985,1.3133,0.14800000000000002,20.5242,0.0635,0.0175,0.7845,0.0269,3.7232
600688,上海石化,0.1176,0.0694,1.6915,0.2895,29.6399,0.1256,0.1455,1.4975,0.4768,48.4513,0.0971,0.1752,1.2817,0.7537,77.0362,0.0926,0.2113,1.2082,0.7931,80.6381,0.1264,0.0801,1.48,0.3294,33.5068,0.0547,0.0632,0.9142,0.1908,19.3038,0.0744,0.1391,1.2329999999999999,0.5106,51.9314,0.0769,0.1787,1.1505,0.6395,64.8079,0.0635,0.0387,0.922,0.1374,13.909
603005,晶方科技,0.1636,0.0102,1.2467,0.065,9.1687,0.2249,0.027999999999999997,2.0686,0.2025,29.8545,0.2143,0.04,2.4817,0.3327,51.7634,0.2157,0.0571,2.0953,0.4242,61.1856,0.5839,0.0398,3.3109,0.3053,43.9038,0.3743,0.0565,2.204,0.3585,46.5023,0.3566,0.0787,2.5007,0.5202,67.7261,0.373,0.1109,2.451,0.7263,96.5095,0.0634,0.0043,0.8562,0.0311,4.2273
600026,中远海能,0.3394,0.0151,6.5916,0.0246,13.2907,0.309,0.0365,1.433,0.0576,16.1302,1.3908,0.2583,6.6297,0.4823,138.5042,0.9348,0.2095,6.2184,0.3973,167.3999,0.2924,0.0131,1.3098,0.0249,11.0758,0.3961,0.033,2.1965,0.0602,25.0658,0.3326,0.0395,1.7969,0.07200000000000001,31.3793,0.3645,0.0589,1.8872,0.1107,40.3341,0.0632,0.0026,,0.0049,1.8087
600802,福建水泥,-0.4302,-0.0189,,-0.0268,-2.9561,-0.1569,-0.0167,,-0.0234,-2.5645,0.0241,0.0042,,0.0058,0.6285,0.1357,0.0405,,0.0571,6.0996,-0.293,-0.0245,,-0.0346,-3.6909,-0.3275,-0.0574,,-0.0807,-8.5764,-0.053,-0.0144,,-0.02,-2.1302,0.0582,0.0262,,0.0354,3.734,0.063,0.0081,0.3355,0.0114,1.2108
300307,慈星股份,0.1351,0.006999999999999999,0.6504,0.0959,10.1195,0.154,0.0203,0.7873,0.24100000000000002,24.8523,0.0816,0.0152,0.545,0.1969,20.2305,0.0594,0.0136,0.5443,0.0753,14.4425,0.3498,0.0238,1.7483,0.1184,20.0824,0.2787,0.0398,1.197,0.1835,29.1345,0.146,0.0295,0.7651,0.1311,20.1884,0.13,0.0349,0.7781,0.1583,20.6932,0.0627,0.0045,0.3178,0.02,2.5853
