code,name,currentratio20161,quickratio20161,cashratio20161,icratio20161,sheqratio20161,adratio20161,currentratio20162,quickratio20162,cashratio20162,icratio20162,sheqratio20162,adratio20162,currentratio20163,quickratio20163,cashratio20163,icratio20163,sheqratio20163,adratio20163,currentratio20164,quickratio20164,cashratio20164,icratio20164,sheqratio20164,adratio20164,currentratio20171,quickratio20171,cashratio20171,icratio20171,sheqratio20171,adratio20171,currentratio20172,quickratio20172,cashratio20172,icratio20172,sheqratio20172,adratio20172,currentratio20173,quickratio20173,cashratio20173,icratio20173,sheqratio20173,adratio20173,currentratio20174,quickratio20174,cashratio20174,icratio20174,sheqratio20174,adratio20174,currentratio20181,quickratio20181,cashratio20181,icratio20181,sheqratio20181,adratio20181
300191,潜能恒信,17.3422,17.3422,1591.4659,-3837.3165,94.7422,5.2578,19.5645,19.5645,1771.5145,-31.6956,95.3188,4.6812,15.7936,15.7936,1391.019,-30.3484,94.6356,5.3644,8.7264,8.7264,757.9917,38.2972,92.131,7.869,10.7839,10.7839,957.9458,578.8642,93.6516,6.3484,10.3365,10.3365,759.6005,892.9908,93.458,6.542000000000001,11.0439,11.0439,640.2252,1000.3717,94.0113,5.9887,12.3895,12.3895,688.2543,-1583.0977,93.8192,6.1808,18.4779,18.4779,884.0494,237.9929,94.8097,5.1903
603615,茶花股份,--,--,--,-13820.3914,--,--,5.2789,3.3826,234.1655,-9416.718,91.206,8.794,--,--,--,-8904.748,--,--,5.9667,4.4039,301.006,-5510.0148,90.5414,9.4586,14.0622,12.0818,963.6178,-8103.2659,94.7631,5.2369,15.9213,13.547,921.3751,-2447.5456,95.3299,4.6701,13.4953,11.6913,840.8961,-2613.9204,94.4213,5.5787,11.7455,9.9253,868.6319,-1230.9575,93.6108,6.3892,14.3418,12.3135,873.4778,-742.7041,94.7746,5.2254
600506,香梨股份,23.1435,19.8283,168.2066,14478.1879,94.4994,5.5006,23.5944,22.2947,456.1847,1884.8113,94.4815,5.5185,4.775,2.8689999999999998,71.4189,2086.3699,86.8314,13.1686,26.6533,18.5627,193.3342,3106.0423,94.4988,5.5012,32.5441,24.625,185.3837,-355.8522,94.8624,5.1376,14.077,13.3071,578.2905,324.7874,93.1606,6.8394,4.3543,2.6927,46.7488,189.8431,87.5142,12.4858,19.0837,15.412,584.4909,-2083.1488,93.9773,6.0227,29.6498,26.7267,674.9291,1664.3764,94.7517,5.2483
600381,青海春天,20.199,12.6692,530.3852,-3979.0085,87.316,12.684000000000001,21.1755,13.940999999999999,1069.2054,-3704.6155,88.069,11.931,23.8921,16.7879,866.2232,-3982.7216,88.6163,11.3837,23.2676,17.7261,858.4232,-7178.4182,90.6388,9.3612,31.4847,24.2563,941.9391,-2214.0451,91.7264,8.2736,41.1779,32.2037,1403.5952,-2611.4409,92.848,7.152,38.2586,29.3433,793.2087,-3754.1668,93.2166,6.7834,43.403,33.8548,494.2549,-6437.8106,95.3264,4.6736,30.2271,23.9707,451.6958,2445.685,94.6683,5.3317
300726,宏达电子,10.6063,8.6512,206.0513,144032.4859,90.6567,9.3433,,,,,,,,,,,,,11.1479,8.7731,188.7128,-4996.2663,91.5618,8.4382,--,--,--,-18545.5882,--,--,11.0271,8.5022,148.1739,-9904.4506,91.9508,8.0492,13.3435,10.2402,144.9313,-10471.7096,93.204,6.796,18.5408,15.8661,747.7281,-6564.6993,94.635,5.365,20.2019,17.2705,669.2066,-1241.7486,94.641,5.359
300267,尔康制药,6.9117,5.0907,197.4257,-7400.0029,90.3934,9.6066,11.200999999999999,7.8162,434.6784,-3663.2267,93.8798,6.1202,12.7612,8.369,484.4218,-4096.1684,94.81,5.19,7.3598,4.4267,293.4832,-2158.3073,92.7663,7.2337,4.2303,2.3899,147.8065,-24784.6391,87.5883,12.4117,4.1221,2.5606,138.0288,15665.1402,87.0212,12.9788,6.5235,4.2298,187.5884,5025.7431,91.5652,8.4348,11.1347,8.2593,576.7961,3089.9592,94.609,5.391,11.2402,8.1128,385.7973,1041.99,94.5533,5.4467
000096,广聚能源,8.7522,8.4069,752.7543,-131.1141,92.0994,7.9006,10.3934,10.1904,862.8057,-605.2066,93.193,6.807,12.2611,12.0365,1034.8516,-610.1993,94.046,5.954,13.4903,13.1447,1179.0357,-1175.1896,94.8408,5.1592,13.1189,12.959000000000001,1120.3327,-446.5191,94.6858,5.3142,12.7009,12.4913,1067.0551,-643.8256,94.5405,5.4595,11.6809,11.4709,992.2217,-562.9305,94.1466,5.8534,11.5089,11.3326,1024.7807,-523.9204,94.07,5.93,12.4985,12.1079,1084.8243,-156.1665,94.5026,5.4974
002515,金字火腿,19.8472,13.0632,65.6863,-1852.9344,97.159,2.841,28.8981,19.2246,72.5236,-531.4359,97.8529,2.1471,25.5161,17.5431,393.6027,-422.2185,97.6444,2.3556,3.3994,0.6403,32.5842,-367.4349,94.8231,5.1769,3.1827,2.4789,151.2763,-49377.0911,87.7639,12.2361,3.2607,2.2568,76.6804,-8673.0075,85.4757,14.5243,5.6486,4.7394,127.2007,27649.2201,85.3454,14.6546,6.0485,5.1678,206.1152,11766.171,89.7936,10.2064,11.6416,9.8697,389.5989,-1827.5136,94.49799999999999,5.502000000000001
300494,盛天网络,18.4889,18.4833,1707.6595,-585.9221,95.0617,4.9383,24.4402,24.4259,2272.7929999999997,-1146.1317,96.2886,3.7114,22.8098,22.8017,2100.7135,-1104.1583,96.0328,3.9672,17.6025,17.5908,1573.931,-1586.734,94.8946,5.1054,20.4875,20.4727,1638.8745,-1427.0922,95.6192,4.3808,19.9704,19.957,1500.9927,-1019.7752,95.516,4.484,20.4758,20.4631,1260.0368,-1023.6163,95.6323,4.3677,17.0045,16.9957,1457.0287,-1173.9452,94.7389,5.2611,15.8967,15.8774,893.9204,-1420.7633,94.4824,5.5176
300357,我武生物,20.8479,20.4162,1224.553,-3204.2475,95.5887,4.4113,20.0127,19.5459,998.9212,-2686.4824,95.4778,4.5222,17.8082,17.41,770.0039,-3590.1393,94.8483,5.1517,14.7873,14.4023,645.7588,-3368.4033,94.0711,5.9289,18.8295,18.2625,737.5992,-4666.4291,95.1904,4.8096,18.9008,18.2639,480.259,-4860.9102,95.2412,4.7588,16.7144,16.1689,470.9953,-6774.861999999999,94.7556,5.2444,15.5568,15.0869,440.3174,-5706.0388,94.4533,5.5467,15.6393,15.2426,597.25,-4613.1507,94.4562,5.5438
300235,方直科技,8.8301,8.4698,97.3136,-17335.1771,92.0849,7.9151,23.394000000000002,22.3808,569.6003,-4712.305,96.4203,3.5797,9.4621,9.0206,211.9569,-11346.6019,92.7937,7.2063,13.5499,13.0095,389.819,-8000.7582,94.6475,5.3525,17.1447,16.7064,1139.8166,-5917.1353,96.0022,3.9978,32.2416,31.5109,2722.1231,312.0934,97.4113,2.5887,17.012,16.5617,759.1245,-661.2287,96.01700000000001,3.983,18.4244,18.0429,722.5377,-189.1112,95.6896,4.3104,14.1697,13.8876,540.275,-680.6649,94.3908,5.6092
