code,name,mbrg20161,nprg20161,nav20161,targ20161,epsg20161,seg20161,mbrg20162,nprg20162,nav20162,targ20162,epsg20162,seg20162,mbrg20163,nprg20163,nav20163,targ20163,epsg20163,seg20163,mbrg20164,nprg20164,nav20164,targ20164,epsg20164,seg20164,mbrg20171,nprg20171,nav20171,targ20171,epsg20171,seg20171,mbrg20172,nprg20172,nav20172,targ20172,epsg20172,seg20172,mbrg20173,nprg20173,nav20173,targ20173,epsg20173,seg20173,mbrg20174,nprg20174,nav20174,targ20174,epsg20174,seg20174,mbrg20181,nprg20181,nav20181,targ20181,epsg20181,seg20181
002530,金财互联,1.1549,46.7947,2.9135,1.1661,28.5714,2.8121,-16.6829,-43.0712,2.3675,0.3193,-46.4286,2.6668,-18.1779,-52.7123,1.5552,5.4699,-54.7619,1.9449,11.2761,26.0692,393.4453,327.8702,23.0769,431.5926,63.6107,1176.4775,402.7539,313.9776,566.6667,439.6762,97.8691,783.701,408.3072,324.49,433.3333,443.2843,134.2924,1246.3048,416.2892,339.7298,694.7368,451.085,106.2138,435.7945,7.1206,12.0714,193.75,6.2098,35.2352,-11.5117,7.0119,17.629,-16.6667,5.9869
600647,同达创业,-52.8564,-85.2821,6.1439,-0.6362,-74.6988,6.914,-54.8649,12.4098,24.4422,7.1752,14.1863,28.0179,-54.6407,12.6187,29.1893,5.1299,14.2918,33.3377,-24.3225,16.6779,32.9394,11.1847,18.2969,37.4962,-15.478,2632.4547,33.2565,13.8908,2023.8095,39.5305,-41.2765,-84.8106,2.7714,-2.3293,-82.0565,3.8289,-43.3557,-87.829,-3.6728,-4.4506,-84.9981,-3.3301,-68.6684,-89.0643,-11.4653,-8.998,-86.17299999999999,-11.8366,6.0736,-11.5332,-9.277000000000001,-9.4914,-66.4798,-11.2821
603985,恒润股份,,,,,,,-17.5645,13.0794,-100.0,-100.0,13.0777,-100.0,,,,,,,-5.9344,62.0537,23.8131,9.7072,62.0573,23.8131,27.6817,25.5933,,,25.5883,,18.1694,26.7374,,,20.0729,,15.9966,-7.4785,,,-19.4137,,17.6909,-4.2414,128.0739,37.9536,-19.834,128.0739,22.9768,-11.5474,124.82600000000001,36.4051,-33.6686,124.82600000000001
601211,国泰君安,,7.3348,86.7771,14.1931,-36.9565,93.288,,-40.4956,5.6233,-30.2326,-59.7403,3.2304,,-29.4391,10.1135,-19.8047,-46.2857,5.6994,,-31.997,8.9682,-9.3747,-45.2489,4.8676,,-17.3301,6.4081,-9.827,10.3448,3.0098,,-17.7439,24.2358,-2.6841,-9.6774,24.0492,,-16.3945,21.4801,7.6494,-14.8936,23.8163,,-7.6637,20.7162,4.8328,-8.2645,23.1718,,-11.6517,24.0296,16.2593,-18.75,26.1795
600530,交大昂立,1.1344,1.3495,-20.6656,6.9989,4.2105,-21.7685,1.1132,-16.0096,-20.8259,2.5927,-66.5138,-22.0463,3.4601,41.0527,2.7413,17.7108,-30.9524,4.7406,0.604,21.412,-9.7522,-8.2921,-44.6541,-9.1621,-9.7337,14.6432,-1.6983,-13.7468,-56.5657,-0.4431,0.8453,6.5874,0.1275,-11.5711,4.1096,1.2764,0.175,-13.6817,0.2258,-8.9411,-30.4598,-0.1268,6.5869,43.0865,-1.3312,-8.2975,17.0455,-1.9091,4.4642,-11.6518,-4.0615,-17.1413,-6.9767,-3.9474
603161,科华控股,,,,,,,8.5611,26.0302,24.7033,22.4848,3.7736,24.7033,,,,,,,19.1824,23.8404,21.9194,45.1885,14.9425,21.9194,,,,,,,17.1432,3.9685,17.052,48.9745,3.6364,17.052,,,,,,,24.7793,6.2084,16.2709,52.5957,7.0,16.2709,44.2799,-11.7453,,,-27.5862,
000639,西王食品,1.9851,10.0481,49.4682,22.4264,-53.8462,49.4682,14.8948,30.9122,46.7001,28.4087,10.5263,46.7001,17.9339,-8.0054,42.3175,37.3169,-23.5294,42.3175,50.4257,9.1618,104.7469,283.9168,-23.0769,41.2326,136.8842,92.7266,52.9396,196.1172,25.0,5.4581,145.6612,117.3032,56.2201,193.2277,47.619,6.9878,117.2308,145.7007,59.4743,193.9037,73.0769,9.8347,66.4584,147.9753,-0.5178,15.2053,153.3333,17.6339,-8.7681,-11.8268,54.7401,27.4854,0.0,98.4655
601966,玲珑轮胎,,,,,,,11.8897,1382.1081,,,1300.0,,15.5352,272.317,,,247.61900000000003,,20.4278,49.1064,83.4685,8.3232,35.2941,83.5992,51.1859,-6.6619,,,-22.2222,,42.0144,-22.113000000000003,9.8524,-0.0609,-35.7143,9.8629,39.0866,-7.2857,9.4879,10.21,-17.8082,9.4977,32.3286,3.7243,8.638,7.9279,-5.4348,8.6468,4.0801,-12.0805,10.0934,11.6225,-9.5238,10.1031
300731,科创新源,,,,,,,,,,,,,,,,,,,22.1175,51.9854,19.9253,25.2032,40.678000000000004,17.7656,,,,,,,27.6585,15.972999999999999,8.3837,13.5724,21.4286,8.0537,31.4535,10.5073,,,16.3934,,34.7395,12.5088,146.3735,125.4918,18.0723,152.5825,17.6261,-12.084000000000001,,,-32.9583,
601928,凤凰传媒,7.6292,18.1461,6.5039,6.8275,16.9451,6.5532,1.9736,14.3444,6.4551,3.9852,13.6646,6.4819,-0.8161,8.1657,6.2395,5.9127,7.8387,6.3084,4.9838,4.7647,8.7196,7.8356,4.0752,8.8392,12.3936,16.2646,8.7222,8.5558,17.1429,8.9665,6.7487,4.6879,8.4593,11.3449,4.918,8.7441,7.6188,3.8968,7.3282,9.0969,2.6324,7.4397,4.7786,0.1115,6.3109,6.5182,-0.3481,6.6017,-16.362000000000002,-12.1001,5.5279,5.5064,-8.7979,5.7867
600985,雷鸣科化,-3.8178,-19.3806,7.6545,33.0788,-40.0,8.3784,-8.9,17.8755,7.7797,29.4818,-22.2222,8.0774,-12.8524,24.8925,10.7515,26.8944,26.9231,11.4803,-7.5533,-21.0048,6.5898,30.7695,-22.7273,6.9371,9.1451,0.9999,6.7715,4.8118,-16.6667,6.9632,9.845,-4.6252,36.2352,16.0002,-9.5238,38.8184,12.2976,-9.1135,35.3102,16.078,-15.1515,37.444,14.434000000000001,31.6238,37.3886,15.5564,20.5882,40.6627,-9.0239,-12.2412,36.5335,17.585,-20.0,39.8247
600422,昆药集团,17.451,10.9686,59.2506,59.8572,-2.1248,74.9876,19.8248,13.8533,48.6846,51.1452,-50.2134,62.4079,7.3809,3.693,48.5875,29.7023,-54.0881,62.9308,3.7617,-5.0536,8.2783,9.1748,-51.6117,7.4212,6.0681,10.5109,8.3504,5.8607,-44.7113,7.5152,9.1915,-13.2885,8.9383,11.205,-13.2105,7.5617,15.0138,-15.2398,6.1234,12.2418,-15.1826,3.9085,14.7373,-18.1265,4.4765,17.3244,-18.6483,3.0456,35.1583,-12.431,4.0844,23.7793,-11.9465,2.6775
002628,成都路桥,99.4574,21.5439,-0.5368,-7.8106,0.0,-0.5368,88.3515,28.4078,0.7276,-7.1221,-3.0,0.7276,50.1021,-39.0705,-0.0252,-2.2432,-44.5,-0.0252,42.70399999999999,134.3134,2.1376,1.867,98.6667,2.1376,-35.9463,-18.9828,2.0991,0.3776,-1.0,2.0991,-30.3833,1.9786,1.2521,-6.3495,2.0619,1.2521,-18.1923,3.6189,1.5473,-7.3811,4.0541,1.4902,-3.6258,-49.1093,0.1918,-3.1596,-48.9933,0.1384,49.7755,-12.4976,-0.1714,-2.3572,-12.1212,-0.2213
603680,今创集团,,,,,,,,,,,,,,,,,,,3.9634,-4.0444,-14.1201,43.1111,-4.2936,-15.0071,19.5663,-7.8417,,,-10.0,,,,,,,,19.6111,-5.2394,,,-6.1947,,14.0154,-6.438,39.2084,21.8197,-6.6353,39.9449,21.0058,-12.5065,115.1116,41.6118,-17.2963,118.5705
000600,建投能源,2.3774,20.1677,15.6976,7.5253,20.462,17.8957,-5.8101,4.4961,11.8003,6.3968,5.401,13.4534,-5.5329999999999995,-6.3418,9.2692,10.8904,-6.2372,10.9571,-2.4814,-25.8809,5.587000000000001,13.1348,-28.921999999999997,6.0956,10.1981,-65.1589,1.0514,10.9775,-65.4795,1.9315,5.4629,-78.0424,1.413,9.2939,-79.6584,-1.7163,6.044,-82.2864,-6.2486,5.0528,-85.4962,-5.8837,12.2576,-83.9434,-2.0957,6.5828,-88.4094,-4.946000000000001,40.5306,-12.7263,-2.3328,7.9041,-11.1111,-5.067
600053,九鼎投资,212.2354,421.3605,38.4148,69.5689,411.0947,33.0109,288.5955,508.1807,53.1824,68.2871,502.7397,47.1644,174.2371,850.5062,68.1504,61.0229,841.2552,61.7106,46.3077,121.2573,44.7044,-7.517,119.1557,45.5962,-40.452,78.6751,66.6996,-0.2277,82.7786,68.6833,-49.7594,-20.6325,35.9101,0.8047,-21.3427,36.9633,-55.1775,-49.2407,19.1654,-3.7277,-50.7189,19.6348,-54.0195,-47.7361,19.1683,11.9332,-48.4258,19.6193,13.0326,-12.7642,2.1108,14.2039,-15.7561,2.0031
