code,name,arturnover20161,arturndays20161,inventory_turnover20161,inventory_days20161,currentasset_turnover20161,currentasset_days20161,arturnover20162,arturndays20162,inventory_turnover20162,inventory_days20162,currentasset_turnover20162,currentasset_days20162,arturnover20163,arturndays20163,inventory_turnover20163,inventory_days20163,currentasset_turnover20163,currentasset_days20163,arturnover20164,arturndays20164,inventory_turnover20164,inventory_days20164,currentasset_turnover20164,currentasset_days20164,arturnover20171,arturndays20171,inventory_turnover20171,inventory_days20171,currentasset_turnover20171,currentasset_days20171,arturnover20172,arturndays20172,inventory_turnover20172,inventory_days20172,currentasset_turnover20172,currentasset_days20172,arturnover20173,arturndays20173,inventory_turnover20173,inventory_days20173,currentasset_turnover20173,currentasset_days20173,arturnover20174,arturndays20174,inventory_turnover20174,inventory_days20174,currentasset_turnover20174,currentasset_days20174,arturnover20181,arturndays20181,inventory_turnover20181,inventory_days20181,currentasset_turnover20181,currentasset_days20181
600707,彩虹股份,0.5356,168.0358,0.493,182.5558,0.1058,850.6616,1.2416,144.9742,1.1971,150.3634,0.1677,1073.3453,1.7558,153.7761,1.9626,137.5726,0.3121,865.1073,2.6738,134.6398,3.6942,97.4501,0.4414,815.5868,0.8064,111.6071,1.3849,64.9866,0.1291,697.1339999999999,1.5111,119.1185,2.5497,70.5965,0.2667,674.9156,2.5985,103.9061,,,0.0279,9677.4194,3.122,115.3107,4.7559,75.6955,0.057,6315.7895,0.7759999999999999,115.9794,0.5547,162.2499,0.0101,8910.8911
603079,圣达生物,,,,,,,,,,,,,,,,,,,6.9079999999999995,52.1135,2.6994,133.363,1.4102,255.2829,,,,,,,2.8211,63.8049,1.436,125.3482,0.6669,269.9055,4.3115,62.6232,2.3314,115.8102,0.7237,373.0828,5.4357,66.2288,2.8546,126.1122,1.0144,354.8896,1.0991,81.8852,0.5539999999999999,162.4549,0.1919,468.9943
600187,国中水务,0.4574,196.7643,0.593,151.7707,0.0695,1294.964,0.8875,202.8169,1.1928,150.9054,0.1314,1369.8629999999998,1.2769,211.4496,1.827,147.7833,0.2266,1191.5269,1.7135,210.0963,2.4625,146.1929,0.3141,1146.1318,0.3774,238.4738,0.6101,147.5168,0.0665,1353.3835,0.8048,223.6581,1.3189,136.4774,0.1638,1098.9011,1.1561,233.5438,1.8903,142.8345,0.2396,1126.8781,1.6588,217.0244,2.6891,133.8738,0.3743,961.7954,0.2955,304.5685,0.5532,162.6898,0.0502,1792.8287
000553,沙隆达A,1.9663,45.7712,1.54,58.4416,0.47100000000000003,191.0828,3.4641,51.9615,3.5932,50.0946,0.9764,184.3507,5.6032,48.1868,5.1289,52.6429,1.3503,199.9556,9.5345,37.7576,6.9395,51.8769,1.8136,198.5002,2.2975,39.173,2.6705,33.7016,0.5655,159.1512,4.6539,38.6772,5.9565,30.2191,1.2325,146.0446,5.9968,45.023999999999994,3.1127,86.7414,1.6761,161.0882,9.0475,39.79,4.0209,89.5322,1.9507,184.5491,1.1391,79.0097,0.5532,162.6898,0.2847,316.1222
002518,科士达,0.4933,182.4448,0.7742,116.249,0.1833,490.9984,1.0365,173.6614,1.6345,110.1254,0.4085,440.6365,1.5795,170.9402,2.4115,111.9635,0.6004,449.7002,2.4032,149.8003,3.5523,101.3428,0.8547,421.2004,0.5168,174.1486,0.72,125.0,0.1823,493.6917,1.2694,141.7993,1.9465,92.4737,0.488,368.8525,1.867,144.61700000000002,2.5125,107.4627,0.7142,378.0454,2.7829,129.3615,4.8242,74.6238,1.0584,340.1361,0.3828,235.1097,0.5529,162.7781,0.1547,581.7712
601811,新华文轩,1.3792,65.2552,0.544,165.4412,0.2985,301.5075,3.3913,53.077,1.1776,152.8533,0.6192,290.6977,4.3069,62.6901,1.7763,152.0014,0.8611,313.5524,8.6997,41.3807,2.6723,134.7154,1.3230000000000002,272.1088,1.6486,54.5918,0.635,141.7323,0.293,307.1672,3.4931,51.5302,1.3769999999999998,130.719,0.5858,307.2721,5.0415,53.5555,1.8432,146.4844,0.862,313.2251,7.0656,50.9511,2.8605,125.8521,1.2395,290.4397,1.0579,85.0742,0.5521,163.0139,0.2339,384.7798
603889,新澳股份,3.4317,26.2261,0.6458,139.362,0.4257,211.4165,7.3506,24.4878,1.7372,103.615,1.0202,176.43599999999998,13.5036,19.9947,2.7699,97.4764,1.6680000000000001,161.8705,20.4268,17.6239,2.9737,121.0613,2.0928,172.0183,3.7976,23.6992,0.5963,150.9307,0.4285,210.035,7.8247,23.0041,1.6609,108.375,1.2001,149.9875,13.6526,19.7765,2.8275,95.4907,1.4719,183.4364,20.8996,17.2252,2.8907,124.5373,1.7639,204.0932,3.3474,26.8865,0.5512,163.2801,0.303,297.0297
300627,华测导航,,,,,,,1.2505,143.9424,0.9496,189.5535,0.5134,350.6038,,,,,,,3.2836,109.6358,2.6547,135.6085,1.2044,298.904,0.5162,174.351,0.4659,193.1745,0.1612,558.3127,1.3246,135.8901,1.2188,147.6862,0.429,419.5804,1.9943,135.3858,1.8603,145.1379,0.6417,420.7574,3.5429,101.6117,3.2793,109.7795,0.9105,395.3871,0.6301,142.8345,0.551,163.3394,0.1498,600.8011
300340,科恒股份,0.4961,181.415,0.8712,103.3058,0.1625,553.8462,1.0393,173.1935,2.2317,80.656,0.4003,449.6628,1.632,165.4412,3.5819,75.37899999999999,0.6602,408.967,2.4201,148.7542,2.4732,145.5604,0.7845,458.89099999999996,0.7492,120.1281,0.491,183.2994,0.2315,388.7689,1.6280000000000001,110.5651,1.0236,175.8499,0.4853,370.9046,2.3864,113.1411,1.5369,175.6783,0.7466,361.6394,3.3,109.0909,2.5469999999999997,141.3428,1.1451,314.383,0.6902,130.39700000000002,0.5508,163.3987,0.2518,357.4265
300068,南都电源,0.7642,117.7702,0.8961,100.4352,0.33,272.7273,1.4782,121.7697,1.6679,107.9201,0.5123,351.3566,2.4315,111.0426,2.5614,105.4111,0.9191,293.7656,3.5261,102.0958,3.5639999999999996,101.0101,1.3298,270.7174,0.8301,108.4207,0.7676,117.2486,0.3052,294.8886,1.7079,105.3926,1.4776,121.8192,0.6101,295.0336,2.6735,100.9912,2.2969999999999997,117.5446,0.9525,283.4646,4.0306,89.3167,3.0429,118.3082,1.3246,271.7802,0.8734,103.0456,0.5493,163.8449,0.2606,345.3569
300341,麦迪电气,0.9218,97.6351,0.4801,187.4609,0.1792,502.2321,2.0436,88.0799,1.217,147.9047,0.447,402.6846,3.2077,84.1725,1.8835,143.3501,0.6873,392.8416,4.7371,75.9959,2.71,132.8413,1.0266,350.6721,1.0862,82.8577,0.5845,153.9778,0.2332,385.9348,2.3027,78.1691,1.2542,143.5178,0.5082,354.1913,3.5112,76.8968,1.8727,144.1769,0.7577,356.3416,5.0367,71.4754,2.7039999999999997,133.1361,1.0594,339.815,1.0533,85.4457,0.5493,163.8449,0.2066,435.6244
300441,鲍斯股份,1.0977,81.9896,0.3871,232.4981,0.2221,405.2229,2.2394,80.3787,0.86,209.3023,0.47700000000000004,377.3585,3.5603,75.8363,1.4124,191.16400000000002,0.8959,301.3729,5.1419,70.013,1.9778,182.0204,1.272,283.0189,1.1762,76.5176,0.4684,192.1435,0.2959,304.1568,2.6204,68.6918,1.0683,168.49200000000002,0.7156,251.5372,3.9259,68.774,1.6281,165.8375,1.0847,248.9168,5.4927,65.5415,2.3373,154.0239,1.4776,243.6383,1.205,74.6888,0.5492,163.8747,0.3374,266.7457
002460,赣锋锂业,1.9127,47.0539,1.1644,77.293,0.5761,156.2229,3.5922,50.1086,2.1019,85.6368,1.1531,156.1009,5.795,46.5919,2.8415,95.0202,1.6228,166.3791,7.0653,50.9533,4.3915,81.9765,2.2928,157.0133,1.4702,61.2162,0.6882,130.7759,0.3609,249.3766,3.8110000000000004,47.2317,1.5546,115.7854,0.8127,221.4839,6.876,39.266999999999996,2.5541,105.7124,1.2089,223.3435,9.2156,39.0642,3.6012,99.9667,1.4509,248.1219,1.9780000000000002,45.5005,0.5489,163.9643,0.2275,395.6044
002246,北化股份,0.7789,115.5476,0.711,126.5823,0.3012,298.8048,1.9157,93.9604,1.749,102.916,0.7027,256.1548,2.7888,96.8158,2.8561,94.5345,1.0486,257.4862,4.512,79.7872,3.2906,109.4025,1.4595,246.6598,0.8833,101.8906,0.7318,122.9844,0.2874,313.1524,2.0158,89.2946,1.6432,109.5424,0.644,279.5031,3.4929,77.2997,2.5236,106.99,1.0491,257.3635,6.1195,58.8283,4.5367,79.3528,1.4445,249.2212,0.7162,125.6632,0.5484,164.1138,0.1739,517.5388
